Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,46.7917828464456
Belarus,BLR,Net migration,SM.POP.NETM,43648
Belgium,BEL,Population growth (annual %),SP.POP.GROW,0.385228018372369
Belgium,BEL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,4.31947298125167
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,375.66571994716
Belgium,BEL,Net migration,SM.POP.NETM,240000
Belize,BLZ,Population growth (annual %),SP.POP.GROW,1.98239700826474
Belize,BLZ,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,4.87183260421219
Belize,BLZ,Population density (people per sq. km of land area),EN.POP.DNST,16.4741341516879
Belize,BLZ,Net migration,SM.POP.NETM,6000
Benin,BEN,Population growth (annual %),SP.POP.GROW,2.74990222166209
Benin,BEN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,3.68356627451522
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,99.1059950336999
Benin,BEN,Net migration,SM.POP.NETM,-10000
Bermuda,BMU,Population growth (annual %),SP.POP.GROW,-1.0605345960762
Bermuda,BMU,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,18.0496791000126
Bermuda,BMU,Population density (people per sq. km of land area),EN.POP.DNST,1182.83333333333
Bermuda,BMU,Net migration,SM.POP.NETM,..
Bhutan,BTN,Population growth (annual %),SP.POP.GROW,1.19507395930716
Bhutan,BTN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,5.10155120881141
Bhutan,BTN,Population density (people per sq. km of land area),EN.POP.DNST,19.5460098573826
Bhutan,BTN,Net migration,SM.POP.NETM,1600
Bolivia,BOL,Population growth (annual %),SP.POP.GROW,1.449144413215
Bolivia,BOL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,8.4764424845446
Bolivia,BOL,Population density (people per sq. km of land area),EN.POP.DNST,10.3321822209914
Bolivia,BOL,Net migration,SM.POP.NETM,-47520
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,-1.03088019890592
Bosnia and Herzegovina,BIH,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,3.33563417370369
Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,65.4596484375
Bosnia and Herzegovina,BIH,Net migration,SM.POP.NETM,-107926
Botswana,BWA,Population growth (annual %),SP.POP.GROW,2.06884765539921
Botswana,BWA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,3.60239015470652
Botswana,BWA,Population density (people per sq. km of land area),EN.POP.DNST,3.89087572565419
Botswana,BWA,Net migration,SM.POP.NETM,14999
Brazil,BRA,Population growth (annual %),SP.POP.GROW,0.807145245445964
Brazil,BRA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,9.84804690416037
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,24.8660377787402
Brazil,BRA,Net migration,SM.POP.NETM,106000
British Virgin Islands,VGB,Population growth (annual %),SP.POP.GROW,0.719598502488329
British Virgin Islands,VGB,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
British Virgin Islands,VGB,Population density (people per sq. km of land area),EN.POP.DNST,197.113333333333
British Virgin Islands,VGB,Net migration,SM.POP.NETM,..
Brunei Darussalam,BRN,Population growth (annual %),SP.POP.GROW,1.11102778339034
Brunei Darussalam,BRN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,11.6652894638074
